user_id,body
u013,'{"user_id":"u004","connection_type":"Friend"}'
u013,'{"user_id":"u030","connection_type":"Friend"}'
u014,'{"user_id":"u005","connection_type":"Friend"}'
u014,'{"user_id":"u031","connection_type":"Friend"}'
u014,'{"user_id":"u032","connection_type":"Friend"}'
u015,'{"user_id":"u005","connection_type":"Friend"}'
u015,'{"user_id":"u033","connection_type":"Friend"}'
u016,'{"user_id":"u006","connection_type":"Friend"}'
u016,'{"user_id":"u034","connection_type":"Friend"}'
u017,'{"user_id":"u006","connection_type":"Friend"}'
u017,'{"user_id":"u035","connection_type":"Friend"}'
u018,'{"user_id":"u006","connection_type":"Friend"}'
u018,'{"user_id":"u036","connection_type":"Friend"}'
u019,'{"user_id":"u006","connection_type":"Friend"}'
u019,'{"user_id":"u037","connection_type":"Friend"}'
u020,'{"user_id":"u007","connection_type":"Friend"}'
u020,'{"user_id":"u038","connection_type":"Friend"}'
u021,'{"user_id":"u007","connection_type":"Friend"}'
u021,'{"user_id":"u039","connection_type":"Friend"}'
u022,'{"user_id":"u008","connection_type":"Friend"}'
u022,'{"user_id":"u040","connection_type":"Friend"}'
u023,'{"user_id":"u008","connection_type":"Friend"}'
u023,'{"user_id":"u041","connection_type":"Friend"}'
u024,'{"user_id":"u009","connection_type":"Friend"}'
u024,'{"user_id":"u042","connection_type":"Friend"}'
u025,'{"user_id":"u010","connection_type":"Friend"}'
u025,'{"user_id":"u043","connection_type":"Friend"}'
u026,'{"user_id":"u010","connection_type":"Friend"}'
u026,'{"user_id":"u044","connection_type":"Friend"}'
u027,'{"user_id":"u011","connection_type":"Friend"}'
u027,'{"user_id":"u045","connection_type":"Friend"}'
u027,'{"user_id":"u046","connection_type":"Friend"}'
u028,'{"user_id":"u012","connection_type":"Friend"}'
u028,'{"user_id":"u047","connection_type":"Friend"}'
u029,'{"user_id":"u012","connection_type":"Friend"}'
u029,'{"user_id":"u048","connection_type":"Friend"}'
u029,'{"user_id":"u049","connection_type":"Friend"}'
u030,'{"user_id":"u013","connection_type":"Friend"}'
u030,'{"user_id":"u050","connection_type":"Friend"}'
u031,'{"user_id":"u014","connection_type":"Friend"}'
u031,'{"user_id":"u051","connection_type":"Friend"}'
u032,'{"user_id":"u014","connection_type":"Friend"}'
u032,'{"user_id":"u052","connection_type":"Friend"}'
u033,'{"user_id":"u015","connection_type":"Friend"}'
u033,'{"user_id":"u053","connection_type":"Friend"}'
u034,'{"user_id":"u016","connection_type":"Friend"}'
u034,'{"user_id":"u054","connection_type":"Friend"}'
u035,'{"user_id":"u017","connection_type":"Friend"}'
u035,'{"user_id":"u055","connection_type":"Friend"}'
u036,'{"user_id":"u018","connection_type":"Friend"}'
u036,'{"user_id":"u056","connection_type":"Friend"}'
u037,'{"user_id":"u019","connection_type":"Friend"}'
u037,'{"user_id":"u057","connection_type":"Friend"}'
u038,'{"user_id":"u020","connection_type":"Friend"}'
u038,'{"user_id":"u058","connection_type":"Friend"}'
u039,'{"user_id":"u021","connection_type":"Friend"}'
u039,'{"user_id":"u059","connection_type":"Friend"}'
u040,'{"user_id":"u022","connection_type":"Friend"}'
u040,'{"user_id":"u060","connection_type":"Friend"}'
u041,'{"user_id":"u023","connection_type":"Friend"}'
u041,'{"user_id":"u061","connection_type":"Friend"}'
u042,'{"user_id":"u024","connection_type":"Friend"}'
u042,'{"user_id":"u062","connection_type":"Friend"}'
u043,'{"user_id":"u025","connection_type":"Friend"}'
u043,'{"user_id":"u063","connection_type":"Friend"}'
u044,'{"user_id":"u026","connection_type":"Friend"}'
u044,'{"user_id":"u064","connection_type":"Friend"}'
u045,'{"user_id":"u027","connection_type":"Friend"}'
u045,'{"user_id":"u065","connection_type":"Friend"}'
u046,'{"user_id":"u027","connection_type":"Friend"}'
u046,'{"user_id":"u066","connection_type":"Friend"}'
u047,'{"user_id":"u028","connection_type":"Friend"}'
u047,'{"user_id":"u067","connection_type":"Friend"}'
u048,'{"user_id":"u029","connection_type":"Friend"}'
u048,'{"user_id":"u068","connection_type":"Friend"}'
u049,'{"user_id":"u029","connection_type":"Friend"}'
u049,'{"user_id":"u069","connection_type":"Friend"}'
u050,'{"user_id":"u030","connection_type":"Friend"}'
u050,'{"user_id":"u070","connection_type":"Friend"}'
u051,'{"user_id":"u031","connection_type":"Friend"}'
u051,'{"user_id":"u071","connection_type":"Friend"}'
u052,'{"user_id":"u032","connection_type":"Friend"}'
u052,'{"user_id":"u072","connection_type":"Friend"}'
u053,'{"user_id":"u033","connection_type":"Friend"}'
u053,'{"user_id":"u073","connection_type":"Friend"}'
u054,'{"user_id":"u034","connection_type":"Friend"}'
u054,'{"user_id":"u074","connection_type":"Friend"}'
u055,'{"user_id":"u035","connection_type":"Friend"}'
u055,'{"user_id":"u075","connection_type":"Friend"}'
u056,'{"user_id":"u036","connection_type":"Friend"}'
u056,'{"user_id":"u076","connection_type":"Friend"}'
u057,'{"user_id":"u037","connection_type":"Friend"}'
u057,'{"user_id":"u077","connection_type":"Friend"}'
u058,'{"user_id":"u038","connection_type":"Friend"}'
u058,'{"user_id":"u078","connection_type":"Friend"}'
u059,'{"user_id":"u039","connection_type":"Friend"}'
u059,'{"user_id":"u079","connection_type":"Friend"}'
u060,'{"user_id":"u040","connection_type":"Friend"}'
u060,'{"user_id":"u080","connection_type":"Friend"}'
u061,'{"user_id":"u041","connection_type":"Friend"}'
u061,'{"user_id":"u081","connection_type":"Friend"}'
u062,'{"user_id":"u042","connection_type":"Friend"}'
u062,'{"user_id":"u082","connection_type":"Friend"}'
u063,'{"user_id":"u043","connection_type":"Friend"}'
u063,'{"user_id":"u083","connection_type":"Friend"}'
u064,'{"user_id":"u044","connection_type":"Friend"}'
u064,'{"user_id":"u084","connection_type":"Friend"}'
u065,'{"user_id":"u045","connection_type":"Friend"}'
u065,'{"user_id":"u085","connection_type":"Friend"}'
u066,'{"user_id":"u046","connection_type":"Friend"}'
u066,'{"user_id":"u086","connection_type":"Friend"}'
u067,'{"user_id":"u047","connection_type":"Friend"}'
u067,'{"user_id":"u087","connection_type":"Friend"}'
u068,'{"user_id":"u048","connection_type":"Friend"}'
u068,'{"user_id":"u088","connection_type":"Friend"}'
u069,'{"user_id":"u049","connection_type":"Friend"}'
u069,'{"user_id":"u089","connection_type":"Friend"}'
u070,'{"user_id":"u050","connection_type":"Friend"}'
u070,'{"user_id":"u090","connection_type":"Friend"}'
u071,'{"user_id":"u051","connection_type":"Friend"}'
u071,'{"user_id":"u091","connection_type":"Friend"}'
u072,'{"user_id":"u052","connection_type":"Friend"}'
u072,'{"user_id":"u092","connection_type":"Friend"}'
u073,'{"user_id":"u053","connection_type":"Friend"}'
u073,'{"user_id":"u093","connection_type":"Friend"}'
u074,'{"user_id":"u054","connection_type":"Friend"}'
u074,'{"user_id":"u094","connection_type":"Friend"}'
u075,'{"user_id":"u055","connection_type":"Friend"}'
u075,'{"user_id":"u095","connection_type":"Friend"}'
u076,'{"user_id":"u056","connection_type":"Friend"}'
u076,'{"user_id":"u096","connection_type":"Friend"}'
u077,'{"user_id":"u057","connection_type":"Friend"}'
u077,'{"user_id":"u097","connection_type":"Friend"}'
u078,'{"user_id":"u058","connection_type":"Friend"}'
u078,'{"user_id":"u098","connection_type":"Friend"}'
u079,'{"user_id":"u059","connection_type":"Friend"}'
u079,'{"user_id":"u099","connection_type":"Friend"}'
u080,'{"user_id":"u060","connection_type":"Friend"}'
u080,'{"user_id":"u100","connection_type":"Friend"}'
u081,'{"user_id":"u061","connection_type":"Friend"}'
u082,'{"user_id":"u062","connection_type":"Friend"}'
u083,'{"user_id":"u063","connection_type":"Friend"}'
u084,'{"user_id":"u064","connection_type":"Friend"}'
u085,'{"user_id":"u065","connection_type":"Friend"}'
u086,'{"user_id":"u066","connection_type":"Friend"}'
u087,'{"user_id":"u067","connection_type":"Friend"}'
u088,'{"user_id":"u068","connection_type":"Friend"}'
u089,'{"user_id":"u069","connection_type":"Friend"}'
u090,'{"user_id":"u070","connection_type":"Friend"}'
u091,'{"user_id":"u071","connection_type":"Friend"}'
u092,'{"user_id":"u072","connection_type":"Friend"}'
u093,'{"user_id":"u073","connection_type":"Friend"}'
u094,'{"user_id":"u074","connection_type":"Friend"}'
u095,'{"user_id":"u075","connection_type":"Friend"}'
u096,'{"user_id":"u076","connection_type":"Friend"}'
u097,'{"user_id":"u077","connection_type":"Friend"}'
u098,'{"user_id":"u078","connection_type":"Friend"}'
u099,'{"user_id":"u079","connection_type":"Friend"}'
u100,'{"user_id":"u080","connection_type":"Friend"}'
